strategy,base_strategy,regime_filtered,symbol,timeframe,sharpe,cagr,max_drawdown,win_rate,profit_factor,trade_count,total_return,gate1_pass,halted
donchian_bo+regime,donchian_bo,True,MA,1d,-1.1056,-0.0048,0.0279,0.2683,0.39,41,-0.0236,False,False
macd_momentum,macd_momentum,False,MA,1d,-0.6658,-0.0248,0.1238,0.3462,0.8,52,-0.1174,False,False
macd_momentum+regime,macd_momentum,True,MA,1d,-0.9574,-0.0216,0.1123,0.3333,0.66,39,-0.1032,False,False
triple_screen,triple_screen,False,MA,1d,-0.2929,-0.0188,0.1601,0.5556,0.84,108,-0.0904,False,False
triple_screen+regime,triple_screen,True,MA,1d,-0.4498,-0.0193,0.1159,0.5443,0.75,79,-0.0926,False,False
atr_breakout,atr_breakout,False,MA,1d,-0.3816,-0.025,0.1381,0.2556,0.72,90,-0.1186,False,False
atr_breakout+regime,atr_breakout,True,MA,1d,-0.6259,-0.0268,0.1266,0.2319,0.61,69,-0.1266,False,False
momentum_long,momentum_long,False,MA,1d,0.0754,0.0027,0.136,0.1111,1.2,9,0.0136,False,False
momentum_long+regime,momentum_long,True,MA,1d,-0.0984,-0.0082,0.1237,0.3077,1.46,13,-0.0401,False,False
alpha_composite,alpha_composite,False,MA,1d,-0.0803,-0.0086,0.1563,0.4327,0.8,171,-0.0419,False,False
alpha_composite+regime,alpha_composite,True,MA,1d,-1.6318,-0.07,0.2001,0.3016,0.38,63,-0.198,False,True
alpha_trend_v2,alpha_trend_v2,False,MA,1d,-0.4517,-0.022,0.1444,0.4481,0.75,183,-0.1047,False,False
alpha_trend_v2+regime,alpha_trend_v2,True,MA,1d,-0.6382,-0.0239,0.1501,0.4219,0.78,128,-0.1136,False,False
alpha_momentum_v2,alpha_momentum_v2,False,MA,1d,-0.5172,-0.0995,0.2008,0.4,0.42,40,-0.1412,False,True
alpha_momentum_v2+regime,alpha_momentum_v2,True,MA,1d,-2.1279,-0.1117,0.2067,0.0,0.0,15,-0.2045,False,True
ema_crossover,ema_crossover,False,META,1d,0.9216,0.0327,0.0442,0.24,3.22,25,0.1738,False,False
ema_crossover+regime,ema_crossover,True,META,1d,1.0034,0.1243,0.0879,0.3333,3.45,24,0.7922,False,False
donchian_bo,donchian_bo,False,META,1d,-0.6802,-0.0135,0.0801,0.3289,0.49,76,-0.0656,False,False
donchian_bo+regime,donchian_bo,True,META,1d,-0.6723,-0.0127,0.0785,0.3281,0.48,64,-0.0616,False,False
